Acc_Num;Species_TaxID;Genus_TaxID;Family_TaxID;Order_TaxID;Class_TaxID;Phylum_TaxID
CP002835;1426;1906945;186817;1385;91061;1239
CP002898;979982;1243;81850;186826;91061;1239
CP002987;33952;33951;186806;186802;186801;1239
CP002991;46354;1754;186814;68295;186801;1239
CP003001;52766;44000;543371;68295;186801;1239
CP003017;1404;1386;186817;1385;91061;1239
CP003040;301301;841;186803;186802;186801;1239
CP003056;1398;1386;186817;1385;91061;1239
CP003101;1245;1243;81850;186826;91061;1239
CP003107;159743;44249;186822;1385;91061;1239
CP003108;1563;79206;186807;186802;186801;1239
CP003184;28896;28895;543371;68295;186801;1239
CP003235;61624;44249;186822;1385;91061;1239
CP003273;102134;2282740;186807;186802;186801;1239
CP003329;1423;1386;186817;1385;91061;1239
CP003422;61624;44249;186822;1385;91061;1239
CP003492;1127744;1386;186817;1385;91061;1239
CP003629;79209;79206;186807;186802;186801;1239
CP003668;1292;1279;90964;1385;91061;1239
CP003732;85874;140458;186814;68295;186801;1239
CP003838;492670;1386;186817;1385;91061;1239
CP003839;1244;1243;81850;186826;91061;1239
CP003851;1252;1243;81850;186826;91061;1239
CP004405;1423;1386;186817;1385;91061;1239
CP005586;666686;1386;186817;1385;91061;1239
FN597644;1390;1386;186817;1385;91061;1239
FN665652;1496;1870884;186804;186802;186801;1239
FP929039;751585;33042;186803;186802;186801;1239
FP929042;;39491;186803;186802;186801;1239
FP929043;;39491;186803;186802;186801;1239
FP929050;166486;841;186803;186802;186801;1239
FP929055;33039;572511;186803;186802;186801;1239
FP929059;;39492;541000;186802;186801;1239
FP929060;;;245012;186802;186801;1239
FP929061;649756;207244;186803;186802;186801;1239
HE577054;1406;44249;186822;1385;91061;1239
HE617159;492670;1386;186817;1385;91061;1239
HE970764;1582;1578;33958;186826;91061;1239
AP009153;173480;173479;219687;219686;219685;142182
AP012342;180;179;189779;189778;203693;40117
CP001147;28262;28261;189779;189778;203693;40117
CP002919;178606;179;189779;189778;203693;40117
FP929003;330214;1234;189779;189778;203693;40117
AE014291;29461;234;118882;356;28211;1224
AE016795;672;662;641;135623;1236;1224
AE017042;632;629;1903411;91347;1236;1224
AE017197;785;780;775;766;28211;1224
AE017220;28901;590;543;91347;1236;1224
AM421808;487;482;481;206351;28216;1224
AP009048;562;561;543;91347;1236;1224
AP011533;35790;780;775;766;28211;1224
AP011943;210;209;72293;213849;29547;1224
AP012306;562;561;543;91347;1236;1224
AP012601;210;209;72293;213849;29547;1224
BK006741;263;262;34064;72273;1236;1224
BX571966;28450;32008;119060;80840;28216;1224
CM000833;28450;32008;119060;80840;28216;1224
CM000855;197;194;72294;213849;29547;1224
CP000010;13373;32008;119060;80840;28216;1224
CP000125;28450;32008;119060;80840;28216;1224
CP000308;632;629;1903411;91347;1236;1224
CP000378;95486;32008;119060;80840;28216;1224
CP000379;95486;32008;119060;80840;28216;1224
CP000380;95486;32008;119060;80840;28216;1224
CP000409;788;780;775;766;28211;1224
CP000437;263;262;34064;72273;1236;1224
CP000458;95486;32008;119060;80840;28216;1224
CP000459;95486;32008;119060;80840;28216;1224
CP000526;13373;32008;119060;80840;28216;1224
CP000671;727;724;712;135625;1236;1224
CP000672;727;724;712;135625;1236;1224
CP000675;446;445;444;118969;1236;1224
CP000803;263;262;34064;72273;1236;1224
CP000814;197;194;72294;213849;29547;1224
CP000857;28901;590;543;91347;1236;1224
CP000863;470;469;468;72274;1236;1224
CP000873;36855;234;118882;356;28211;1224
CP000886;28901;590;543;91347;1236;1224
CP000887;235;234;118882;356;28211;1224
CP000911;29461;234;118882;356;28211;1224
CP000912;29461;234;118882;356;28211;1224
CP000937;28110;262;34064;72273;1236;1224
CP000959;95486;32008;119060;80840;28216;1224
CP001072;210;209;72293;213849;29547;1224
CP001144;28901;590;543;91347;1236;1224
CP001164;562;561;543;91347;1236;1224
CP001172;470;469;468;72274;1236;1224
CP001235;666;662;641;135623;1236;1224
CP001561;487;482;481;206351;28216;1224
CP001589;632;629;1903411;91347;1236;1224
CP001593;632;629;1903411;91347;1236;1224
CP001612;35788;780;775;766;28211;1224
CP001846;562;561;543;91347;1236;1224
CP001921;470;469;468;72274;1236;1224
CP002099;28901;590;543;91347;1236;1224
CP002184;210;209;72293;213849;29547;1224
CP002331;210;209;72293;213849;29547;1224
CP002419;487;482;481;206351;28216;1224
CP002496;287;286;135621;72274;1236;1224
CP002516;562;561;543;91347;1236;1224
CP002555;666;662;641;135623;1236;1224
CP002558;622488;262;34064;72273;1236;1224
CP002571;210;209;72293;213849;29547;1224
CP002614;28901;590;543;91347;1236;1224
CP002729;562;561;543;91347;1236;1224
CP002872;573569;262;34064;72273;1236;1224
CP002912;226665;780;775;766;28211;1224
CP002953;210;209;72293;213849;29547;1224
CP002956;632;629;1903411;91347;1236;1224
CP002970;562;561;543;91347;1236;1224
CP002983;210;209;72293;213849;29547;1224
CP003034;562;561;543;91347;1236;1224
CP003048;263;262;34064;72273;1236;1224
CP003069;666;662;641;135623;1236;1224
CP003149;287;286;135621;72274;1236;1224
CP003176;235;234;118882;356;28211;1224
CP003177;235;234;118882;356;28211;1224
CP003289;562;561;543;91347;1236;1224
CP003301;562;561;543;91347;1236;1224
CP003304;788;780;775;766;28211;1224
CP003305;783;780;775;766;28211;1224
CP003306;783;780;775;766;28211;1224
CP003308;1105106;780;775;766;28211;1224
CP003338;787;780;775;766;28211;1224
CP003386;28901;590;543;91347;1236;1224
CP003392;782;780;775;766;28211;1224
CP003393;782;780;775;766;28211;1224
CP003419;210;209;72293;213849;29547;1224
CP003856;470;469;468;72274;1236;1224
